date,deal,amount,open,high,low,close,RD,volume,MA5,MA10,MA20,MA30,SMA5,SMA10,SMA20,SMA30,EMA5,EMA10,EMA20,EMA30,WMA5,WMA10,WMA20,WMA30,next_high,next_low,change_n_pct,signal,high_max,threshold,target,upper_band,middle_band,lower_band
2010-01-18,30586332,1924772947,62.8,63.1,62.8,62.9,-0.6,9875,63.20000000000001,63.81,,,63.20000000000001,63.81,,,63.324691358024694,63.80818181818182,,,63.15333333333333,63.50363636363637,,,67.303,58.497,-0.47694753577106064,0,63.0,65.416,0.0015898251192369066,,,
2010-01-19,47541231,2970283048,63.0,63.2,62.0,62.5,-0.4,14132,62.98000000000002,63.61,,,62.98000000000002,63.61,,,63.04979423868313,63.5703305785124,,,62.919999999999995,63.26545454545455,,,66.875,58.125,-2.239999999999998,0,63.0,65.0,0.008,,,
2010-01-20,52519052,3292097534,62.9,63.2,62.2,63.0,0.5,13043,63.02000000000002,63.42,,,63.02000000000002,63.42,,,63.033196159122085,63.46663410969196,,,62.92666666666666,63.15454545454546,,,67.41000000000001,58.59,-4.126984126984129,0,63.0,65.52,0.0,,,
2010-01-21,24842055,1552278255,63.0,63.0,62.1,62.6,-0.4,8212,62.90000000000002,63.260000000000005,,,62.90000000000002,63.260000000000005,,,62.888797439414724,63.30906427156615,,,62.78666666666666,63.00545454545455,,,66.982,58.218,-3.993610223642172,0,62.6,65.104,0.0,,,
2010-01-22,64001109,3916952764,61.5,61.7,61.0,61.1,-1.5,18967,62.42000000000003,62.970000000000006,,,62.42000000000003,62.970000000000006,,,62.292531626276485,62.907416222190484,,,62.18666666666666,62.61272727272728,,,65.37700000000001,56.82300000000001,-2.454991816693944,0,61.1,63.544000000000004,0.0,,,
2010-01-25,62230836,3759976086,60.1,60.8,60.1,60.4,-0.7,18763,61.92000000000003,62.56,,,61.92000000000003,62.56,,,61.66168775085099,62.451522363610394,,,61.51333333333333,62.14545454545455,,,64.628,56.172000000000004,-0.6622516556291367,0,60.4,62.816,0.0,,,
2010-01-26,80078237,4839012506,60.6,61.2,60.0,60.1,-0.3,17643,61.44000000000003,62.21,,,61.44000000000003,62.21,,,61.141125167233994,62.02397284295396,,,60.90666666666666,61.69818181818182,,,64.307,55.89300000000001,2.3294509151414284,0,61.5,62.504000000000005,0.023294509151414285,,,
2010-01-27,53876237,3227674030,60.1,60.4,59.5,59.6,-0.5,13505,60.76000000000003,61.89000000000001,,,60.76000000000003,61.89000000000001,,,60.627416778156,61.58325050787142,,,60.29333333333332,61.223636363636366,,,63.772000000000006,55.428000000000004,0.3355704697986506,0,61.5,61.984,0.03187919463087246,,,
2010-01-28,44033633,2666239239,60.5,61.5,59.8,60.0,0.4,11197,60.24000000000003,61.57000000000001,,,60.24000000000003,61.57000000000001,,,60.418277852104,61.29538677916752,,,60.039999999999985,60.88,,,64.2,55.800000000000004,-1.6666666666666667,0,61.5,62.400000000000006,0.025,,,
2010-01-29,98124608,5948654037,60.1,61.5,59.4,61.5,1.5,18337,60.32000000000003,61.370000000000005,62.69,,60.32000000000003,61.370000000000005,62.69,,60.77885190140267,61.332589182955246,62.69,,60.45999999999999,60.86727272727273,61.85,,65.805,57.195,-2.7642276422764276,0,61.5,63.96,0.0,66.00475489289965,62.69,59.37524510710034
2010-02-01,82234872,4934428435,60.7,60.7,59.5,59.8,-1.7,16893,60.200000000000024,61.06,62.43499999999999,,60.200000000000024,61.06,62.43499999999999,,60.452567934268444,61.05393660423611,62.4147619047619,,60.28666666666665,60.58181818181818,61.57476190476191,,63.986000000000004,55.614,-1.1705685618729027,0,59.8,62.192,0.0,65.81451179906311,62.43499999999999,59.05548820093687
2010-02-02,72141345,4296416714,60.2,60.4,59.0,59.0,-0.8,15211,59.98000000000002,60.71,62.15999999999999,,59.98000000000002,60.71,62.15999999999999,,59.96837862284563,60.68049358528409,62.08954648526077,,59.88666666666665,60.20727272727273,61.24761904761905,,63.13,54.870000000000005,-3.050847457627114,0,59.8,61.36,0.013559322033898256,65.71325203159088,62.15999999999999,58.60674796840909
2010-02-03,42627861,2534155240,60.2,60.3,58.8,59.8,0.8,9966,60.02000000000002,60.39,61.90499999999999,,60.02000000000002,60.39,61.90499999999999,,59.91225241523042,60.52040384250516,61.871494439045456,,59.82666666666664,60.041818181818186,61.02285714285714,,63.986000000000004,55.614,-3.010033444816049,0,59.8,62.192,0.0,65.36591028488273,61.90499999999999,58.444089715117244
