date,value,year,period
2010-01-01,15046,2010,M01
2010-02-01,15113,2010,M02
2010-03-01,15202,2010,M03
2010-04-01,15325,2010,M04
2010-05-01,14849,2010,M05
2010-06-01,14474,2010,M06
2010-07-01,14512,2010,M07
2010-08-01,14648,2010,M08
2010-09-01,14579,2010,M09
2010-10-01,14516,2010,M10
2010-11-01,15081,2010,M11
2010-12-01,14348,2010,M12
2011-01-01,14013,2011,M01
2011-02-01,13820,2011,M02
2011-03-01,13737,2011,M03
2011-04-01,13957,2011,M04
2011-05-01,13855,2011,M05
2011-06-01,13962,2011,M06
2011-07-01,13763,2011,M07
2011-08-01,13818,2011,M08
2011-09-01,13948,2011,M09
2011-10-01,13594,2011,M10
2011-11-01,13302,2011,M11
2011-12-01,13093,2011,M12
2012-01-01,12797,2012,M01
2012-02-01,12813,2012,M02
2012-03-01,12713,2012,M03
2012-04-01,12646,2012,M04
2012-05-01,12660,2012,M05
2012-06-01,12692,2012,M06
2012-07-01,12656,2012,M07
2012-08-01,12471,2012,M08
2012-09-01,12115,2012,M09
2012-10-01,12124,2012,M10
2012-11-01,12005,2012,M11
2012-12-01,12298,2012,M12
2013-01-01,12471,2013,M01
2013-02-01,11950,2013,M02
2013-03-01,11689,2013,M03
2013-04-01,11760,2013,M04
2013-05-01,11654,2013,M05
2013-06-01,11751,2013,M06
2013-07-01,11335,2013,M07
2013-08-01,11279,2013,M08
2013-09-01,11270,2013,M09
2013-10-01,11136,2013,M10
2013-11-01,10787,2013,M11
2013-12-01,10404,2013,M12
2014-01-01,10202,2014,M01
2014-02-01,10349,2014,M02
2014-03-01,10380,2014,M03
2014-04-01,9702,2014,M04
2014-05-01,9859,2014,M05
2014-06-01,9460,2014,M06
2014-07-01,9608,2014,M07
2014-08-01,9599,2014,M08
2014-09-01,9262,2014,M09
2014-10-01,8990,2014,M10
2014-11-01,9090,2014,M11
2014-12-01,8717,2014,M12
2015-01-01,8885,2015,M01
2015-02-01,8599,2015,M02
2015-03-01,8515,2015,M03
2015-04-01,8550,2015,M04
2015-05-01,8834,2015,M05
2015-06-01,8247,2015,M06
2015-07-01,8167,2015,M07
2015-08-01,7992,2015,M08
2015-09-01,7907,2015,M09
2015-10-01,7922,2015,M10
2015-11-01,8000,2015,M11
2015-12-01,7907,2015,M12
2016-01-01,7627,2016,M01
2016-02-01,7702,2016,M02
2016-03-01,7961,2016,M03
2016-04-01,8067,2016,M04
2016-05-01,7652,2016,M05
2016-06-01,7744,2016,M06
2016-07-01,7641,2016,M07
2016-08-01,7784,2016,M08
2016-09-01,7953,2016,M09
2016-10-01,7811,2016,M10
2016-11-01,7553,2016,M11
2016-12-01,7521,2016,M12
2017-01-01,7468,2017,M01
2017-02-01,7379,2017,M02
2017-03-01,7073,2017,M03
2017-04-01,7089,2017,M04
2017-05-01,7000,2017,M05
2017-06-01,6873,2017,M06
2017-07-01,6892,2017,M07
2017-08-01,7082,2017,M08
2017-09-01,6854,2017,M09
2017-10-01,6700,2017,M10
2017-11-01,6774,2017,M11
2017-12-01,6632,2017,M12
2018-01-01,6489,2018,M01
2018-02-01,6581,2018,M02
2018-03-01,6472,2018,M03
2018-04-01,6459,2018,M04
2018-05-01,6196,2018,M05
2018-06-01,6447,2018,M06
2018-07-01,6195,2018,M07
2018-08-01,6156,2018,M08
2018-09-01,6073,2018,M09
2018-10-01,6211,2018,M10
2018-11-01,6115,2018,M11
2018-12-01,6389,2018,M12
2019-01-01,6475,2019,M01
2019-02-01,6136,2019,M02
2019-03-01,6202,2019,M03
2019-04-01,5961,2019,M04
2019-05-01,5930,2019,M05
2019-06-01,5935,2019,M06
2019-07-01,6061,2019,M07
2019-08-01,5945,2019,M08
2019-09-01,5753,2019,M09
2019-10-01,5871,2019,M10
2019-11-01,5868,2019,M11
2019-12-01,5853,2019,M12
2020-01-01,5842,2020,M01
2020-02-01,5729,2020,M02
2020-03-01,7209,2020,M03
2020-04-01,23090,2020,M04
2020-05-01,20933,2020,M05
2020-06-01,17658,2020,M06
2020-07-01,16391,2020,M07
2020-08-01,13498,2020,M08
2020-09-01,12573,2020,M09
2020-10-01,11012,2020,M10
2020-11-01,10713,2020,M11
2020-12-01,10772,2020,M12
2021-01-01,10196,2021,M01
2021-02-01,9992,2021,M02
2021-03-01,9734,2021,M03
2021-04-01,9801,2021,M04
2021-05-01,9250,2021,M05
2021-06-01,9547,2021,M06
2021-07-01,8770,2021,M07
2021-08-01,8288,2021,M08
2021-09-01,7659,2021,M09
2021-10-01,7244,2021,M10
2021-11-01,6733,2021,M11
2021-12-01,6305,2021,M12
2022-01-01,6549,2022,M01
2022-02-01,6279,2022,M02
2022-03-01,5993,2022,M03
2022-04-01,6034,2022,M04
2022-05-01,5966,2022,M05
2022-06-01,5984,2022,M06
2022-07-01,5783,2022,M07
2022-08-01,5983,2022,M08
2022-09-01,5755,2022,M09
2022-10-01,5950,2022,M10
2022-11-01,5956,2022,M11
2022-12-01,5698,2022,M12
2023-01-01,5719,2023,M01
2023-02-01,5962,2023,M02
2023-03-01,5866,2023,M03
2023-04-01,5715,2023,M04
2023-05-01,6117,2023,M05
2023-06-01,5997,2023,M06
2023-07-01,5904,2023,M07
2023-08-01,6340,2023,M08
2023-09-01,6347,2023,M09
2023-10-01,6443,2023,M10
2023-11-01,6262,2023,M11
2023-12-01,6268,2023,M12
2024-01-01,6124,2024,M01
2024-02-01,6458,2024,M02
2024-03-01,6429,2024,M03
2024-04-01,6492,2024,M04
2024-05-01,6649,2024,M05
2024-06-01,6811,2024,M06
2024-07-01,7163,2024,M07
2024-08-01,7115,2024,M08
