date,value,year,period
2023-09-01,150.0,2023,M09
2023-10-01,148.6,2023,M10
2023-11-01,147.5,2023,M11
2023-12-01,146.5,2023,M12
2024-01-01,147.5,2024,M01
2024-02-01,148.6,2024,M02
2024-03-01,148.8,2024,M03
2024-04-01,149.8,2024,M04
2024-05-01,148.8,2024,M05
2024-06-01,148.4,2024,M06
2024-07-01,149.5,2024,M07
