date,value,year,period
2023-09-01,3.8,2023,M09
2023-10-01,3.8,2023,M10
2023-11-01,3.7,2023,M11
2023-12-01,3.7,2023,M12
2024-01-01,3.7,2024,M01
2024-02-01,3.9,2024,M02
2024-03-01,3.8,2024,M03
2024-04-01,3.9,2024,M04
2024-05-01,4.0,2024,M05
2024-06-01,4.1,2024,M06
2024-07-01,4.3,2024,M07
2024-08-01,4.2,2024,M08
